method,participant,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
DIFF-CLEAN-POP-K1,7,0.048353427718846015,0.5621547599633535,0.06528304377625817,0.2150713148039002,0.30277777777777776,0.9796863169148882
DIFF-CLEAN-POP-K1,8,0.06473554749371084,0.6813878814379374,0.054198906783637146,0.1253612052992178,0.36944444444444446,0.960574289596678
DIFF-CLEAN-POP-K1,9,0.04355294849989363,0.5284269650777181,0.05962671602366826,0.19841863217991917,0.4305555555555556,0.9568854412535779
DIFF-CLEAN-POP-K8,1,0.04752968275746483,0.6621128618717194,0.07328382144065829,0.32894715095974064,0.5791666666666666,0.9341696143136544
DIFF-CLEAN-POP-K8,2,0.041175009619303614,0.6460575759410858,0.10834757218124769,0.38750012563919833,0.18611111111111112,0.9018738948729065
DIFF-CLEAN-POP-K8,3,0.04843909921224329,0.821598157286644,0.044640919878336675,0.12133113176317684,-0.019444444444444448,0.9500702072405923
DIFF-CLEAN-POP-K8,4,0.04867958087857926,0.7495642850796381,0.07063654050396895,0.2346301306655668,0.7360860450278005,0.9378563549975918
DIFF-CLEAN-POP-K8,5,0.05719653344097165,0.5630096594492594,0.10167117595603166,0.3827635750272181,0.689975349219392,0.8982395527921
DIFF-CLEAN-POP-K8,6,0.12585745215892108,0.5161333282788595,0.1074945841417803,0.47027889440577936,0.4388888888888889,0.8665544201904329
DIFF-CLEAN-POP-K8,7,0.042466853347011176,0.6966441571712494,0.07623000671199577,0.3215032468421055,0.11111111111111112,0.9256117068411612
DIFF-CLEAN-POP-K8,8,0.0636286134604739,0.7900301565726598,0.06350264892666904,0.1682092303076824,0.3638888888888889,0.9469894020268322
DIFF-CLEAN-POP-K8,9,0.0383372375372116,0.665295014778773,0.07161248635846315,0.27408069591875556,0.4277777777777778,0.9349837873653607
DIFF-CLEAN-WRONG-1-K1,2,0.048919175899823975,0.5566157102584839,0.06857553057204621,0.2701380744398828,0.14583333333333331,0.9589760023890059
DIFF-CLEAN-WRONG-1-K1,3,0.05238637302018717,0.7327921390533447,0.044017150961386184,0.1047000373960253,-0.10416666666666674,0.9619275318742213
DIFF-CLEAN-WRONG-1-K1,4,0.047523079939311944,0.671488493680954,0.039408624548750874,0.13159001031453724,0.8,0.9692557848949095
DIFF-CLEAN-WRONG-1-K1,5,0.05545226519783707,0.4807618707418442,0.0690988106129892,0.28920617321389075,0.48750000000000004,0.9454590226727293
DIFF-CLEAN-WRONG-1-K1,6,0.11534475127301508,0.4733498841524124,0.0938351471905558,0.3939597410855236,0.4291666666666667,0.8715785972178882
DIFF-CLEAN-WRONG-1-K1,7,0.04486053864780945,0.5674008131027222,0.05720533045817082,0.22691297741389974,0.37916666666666665,0.9832923539644622
DIFF-CLEAN-WRONG-1-K1,8,0.05854321263972351,0.6752890348434448,0.04284195148528411,0.11273461275557578,0.375,0.9737130792567422
DIFF-CLEAN-WRONG-1-K1,9,0.04388364431223912,0.5407712310552597,0.05197693828353005,0.16827895204543358,0.5083333333333333,0.9647462685074538
DIFF-CLEAN-WRONG-1-K8,2,0.043017242912662415,0.6746362298727036,0.08220538871358962,0.33073497434295274,0.1333333333333333,0.9237876635251168
DIFF-CLEAN-WRONG-1-K8,3,0.04537680607319863,0.8164610117673874,0.03861434504046119,0.11114030381359359,-0.04583333333333334,0.9500575370668629
DIFF-CLEAN-WRONG-1-K8,4,0.043691357025094205,0.7681161463260651,0.04780417715097862,0.18997636840066295,0.75,0.9563882674627177
DIFF-CLEAN-WRONG-1-K8,5,0.051197365754962504,0.559599295258522,0.07883612124722647,0.3474634561631552,0.6208333333333333,0.9112248043923454
DIFF-CLEAN-WRONG-1-K8,6,0.10439748998848354,0.536523848772049,0.12873731085818363,0.46435421629545925,0.45833333333333337,0.8326612249284293
DIFF-CLEAN-WRONG-1-K8,7,0.039942817029823705,0.6815802156925201,0.061860430515253306,0.31689439480426784,0.12916666666666665,0.9386280446940964
DIFF-CLEAN-WRONG-1-K8,8,0.057378677050024224,0.7880018502473831,0.049376015257619935,0.1459121704502297,0.38749999999999996,0.9590222175350038
DIFF-CLEAN-WRONG-1-K8,9,0.037425125745061516,0.6937183886766434,0.06262986282377445,0.2370798155845249,0.47500000000000003,0.9419833156222968
DIFF-CLEAN-WRONG-2-K1,1,0.04558806396670392,0.5508089661598206,0.04831591257987912,0.21633887856519535,0.4666666666666667,0.9622058139308729
DIFF-CLEAN-WRONG-2-K1,3,0.05599797145877807,0.7151766717433929,0.04462824881458216,0.10508138431876535,0.0472222222222222,0.9630398788005999
DIFF-CLEAN-WRONG-2-K1,4,0.05612676527489929,0.6130155523618063,0.04159026064543665,0.1368381449827332,0.8081149331149331,0.9587525095154968
DIFF-CLEAN-WRONG-2-K1,5,0.058899313512245755,0.4451414843400319,0.05876223412132873,0.2807481234467224,0.6249749339166895,0.9443839986141239
DIFF-CLEAN-WRONG-2-K1,6,0.13656170867481052,0.44726457198460895,0.06845393639578021,0.36010796004836587,0.40277777777777785,0.900641937821331
DIFF-CLEAN-WRONG-2-K1,7,0.05393361096815474,0.5350345174471537,0.05921011137597216,0.22609641852893336,0.2805555555555555,0.9696518685746235
DIFF-CLEAN-WRONG-2-K1,8,0.06325816052449311,0.642228364944458,0.05100155282880572,0.13836297629197714,0.36944444444444446,0.9571713818463788
DIFF-CLEAN-WRONG-2-K1,9,0.04015389179814441,0.5156460702419281,0.05415080627509283,0.20553741777560286,0.4527777777777778,0.9589784225760374
DIFF-CLEAN-WRONG-2-K8,1,0.04794546925379143,0.6433313190937042,0.05647683996461252,0.29441799496457133,0.5625,0.948212568782677
DIFF-CLEAN-WRONG-2-K8,3,0.048522720859677466,0.8077174921830496,0.03723830746642837,0.09935413669892428,-0.038888888888888896,0.954562331193107
DIFF-CLEAN-WRONG-2-K8,4,0.04916130783629885,0.731532464424769,0.05668936088967458,0.19857280060930374,0.7583082672500229,0.9457955866250023
DIFF-CLEAN-WRONG-2-K8,5,0.05328317492810596,0.5293772717316946,0.07171229680683562,0.33433490961942747,0.6583082672500228,0.9189340473725579
DIFF-CLEAN-WRONG-2-K8,6,0.12590957154047058,0.5084048906962076,0.08749068496521968,0.43223079913021295,0.38888888888888884,0.8786776653082704
DIFF-CLEAN-WRONG-2-K8,7,0.04856676217968309,0.6681323846181234,0.07152388762456861,0.3099280075233013,0.16666666666666666,0.9265189157014727
DIFF-CLEAN-WRONG-2-K8,8,0.06265610804690021,0.7495455046494802,0.05910680207271648,0.16559379328931942,0.41944444444444445,0.9435157390670531
DIFF-CLEAN-WRONG-2-K8,9,0.03389430268437896,0.6545369625091553,0.06520054004900466,0.2590664436575948,0.4277777777777778,0.9395317479033835
DIFF-CLEAN-WRONG-3-K1,1,0.051863803227359784,0.4877704083919525,0.04794978261103561,0.23250581392813197,0.4625,0.9650882080955163
DIFF-CLEAN-WRONG-3-K1,2,0.05298849937779116,0.4536724289258321,0.07528929754530762,0.2893041880841641,0.12777777777777777,0.9558551411785398
DIFF-CLEAN-WRONG-3-K1,4,0.05948938017237084,0.6057001849015554,0.04533055844225747,0.15339322887613902,0.7751160251160251,0.9579310991783875
DIFF-CLEAN-WRONG-3-K1,5,0.0649362112549911,0.4497611125310262,0.07020693081951844,0.3025218108627208,0.6072276822276822,0.9359771669038613
DIFF-CLEAN-WRONG-3-K1,6,0.1460535286578977,0.4233175317446391,0.0795648325156959,0.3905319256256075,0.4222222222222222,0.8973076128740679
