budget_seconds,fold_id,fold_cluster,study,recording_key,eligible,calibration_samples,status,arm,support_reliability,oracle_lambda,deployable_lambda,composite_distance,normalized_frobenius,frequency_magnitude,frequency_phase,common_eog_response,wrong_donor_count,mean_wrong_composite_distance
60.0,study05_layout_05_heldout_03,24,study05,study05/study05_p46,True,15360,success,POP,0.3852468509276151,0.67,0.7846071744424766,1.3336117570009611,0.9591432991649532,0.3695100915429445,0.7771145264102198,0.8863902128169947,1,1.4430528118136585
60.0,study05_layout_05_heldout_03,24,study05,study05/study05_p46,True,15360,success,EB_ORACLE,0.3852468509276151,0.67,0.7846071744424766,1.1325991668687243,0.8075362842930671,0.33686209857868016,0.5694272646576803,0.7387943418242761,1,1.4430528118136585
60.0,study05_layout_05_heldout_03,24,study05,study05/study05_p46,True,15360,success,EB_DEPLOYABLE,0.3852468509276151,0.67,0.7846071744424766,1.1386297268894319,0.8103693039919069,0.3429755905078065,0.5438691209147992,0.7412672242901455,1,1.4430528118136585
60.0,study05_layout_05_heldout_04,25,study05,study05/study05_p47,True,15360,success,MATCH,0.5098294619836108,0.87,0.7708293010835883,1.0869114104087516,0.7181984219937715,0.3554135603827942,0.5236179229439967,0.6791360577315576,1,1.8459557213490052
60.0,study05_layout_05_heldout_04,25,study05,study05/study05_p47,True,15360,success,POP,0.5098294619836108,0.87,0.7708293010835883,1.4718024858946261,1.054962653549175,0.420961387087798,0.8025764411972978,0.9705834546870985,1,1.8459557213490052
60.0,study05_layout_05_heldout_04,25,study05,study05/study05_p47,True,15360,success,EB_ORACLE,0.5098294619836108,0.87,0.7708293010835883,1.073761982806953,0.7089718123508315,0.3545976651362456,0.507926627581764,0.668371654912531,1,1.8459557213490052
60.0,study05_layout_05_heldout_04,25,study05,study05/study05_p47,True,15360,success,EB_DEPLOYABLE,0.5098294619836108,0.87,0.7708293010835883,1.0801176740946534,0.7124427702901,0.3576511401707584,0.5080420854972348,0.6716623253741716,1,1.8459557213490052
60.0,study05_layout_05_heldout_04,25,study05,study05/study05_p48,True,15360,success,MATCH,0.43215733379975635,1.0,0.5938729167896069,1.1818652969164722,0.6418805364303957,0.3681559398335822,0.6739861886699315,0.7463107382158969,1,1.5944159020750346
60.0,study05_layout_05_heldout_04,25,study05,study05/study05_p48,True,15360,success,POP,0.43215733379975635,1.0,0.5938729167896069,1.3298555724477603,0.7066900385087118,0.44470327756219996,0.525785478247312,0.8325737470608292,1,1.5944159020750346
60.0,study05_layout_05_heldout_04,25,study05,study05/study05_p48,True,15360,success,EB_ORACLE,0.43215733379975635,1.0,0.5938729167896069,1.1818652969164722,0.6418805364303957,0.3681559398335822,0.6739861886699315,0.7463107382158969,1,1.5944159020750346
60.0,study05_layout_05_heldout_04,25,study05,study05/study05_p48,True,15360,success,EB_DEPLOYABLE,0.43215733379975635,1.0,0.5938729167896069,1.2137415190182481,0.6194261482842115,0.37904017313363664,0.5870284302496778,0.7759985028596436,1,1.5944159020750346
60.0,study05_layout_05_heldout_05,26,study05,study05/study05_p49,True,15360,success,MATCH,0.3198186222331925,0.61,0.8656038748407516,1.2717486553602444,0.7553494201331881,0.39283883030047956,0.5965800610845063,0.8192518189513142,1,1.8710789514542743
60.0,study05_layout_05_heldout_05,26,study05,study05/study05_p49,True,15360,success,POP,0.3198186222331925,0.61,0.8656038748407516,1.424286938944331,0.9292616419944755,0.46708992581105074,0.612272967160439,0.8959697164172362,1,1.8710789514542743
60.0,study05_layout_05_heldout_05,26,study05,study05/study05_p49,True,15360,success,EB_ORACLE,0.3198186222331925,0.61,0.8656038748407516,1.1954938545514748,0.7562309995003575,0.3882468114430042,0.5883958249862287,0.7484074606098476,1,1.8710789514542743
60.0,study05_layout_05_heldout_05,26,study05,study05/study05_p49,True,15360,success,EB_DEPLOYABLE,0.3198186222331925,0.61,0.8656038748407516,1.2286631105190298,0.7488353219091693,0.38870979432166697,0.5927760264349308,0.7806757135538698,1,1.8710789514542743
60.0,study05_layout_05_heldout_05,26,study05,study05/study05_p50,True,15360,success,MATCH,0.45150842518817236,0.5700000000000001,0.8037558222839432,1.243680633020855,0.7808274898041261,0.3335155601461843,0.7746211320752471,0.832702959667146,1,1.8068207800134664
60.0,study05_layout_05_heldout_05,26,study05,study05/study05_p50,True,15360,success,POP,0.45150842518817236,0.5700000000000001,0.8037558222839432,1.2907545571316834,0.8278296803994486,0.4513727920973056,0.598054102240241,0.7795763548103537,1,1.8068207800134664
60.0,study05_layout_05_heldout_05,26,study05,study05/study05_p50,True,15360,success,EB_ORACLE,0.45150842518817236,0.5700000000000001,0.8037558222839432,1.177288054978939,0.7656981571058509,0.3580623422474232,0.6386291090734121,0.7553628018241746,1,1.8068207800134664
60.0,study05_layout_05_heldout_05,26,study05,study05/study05_p50,True,15360,success,EB_DEPLOYABLE,0.45150842518817236,0.5700000000000001,0.8037558222839432,1.197668800073891,0.7698910984385977,0.33940128035266776,0.7007534473904498,0.7881921749821784,1,1.8068207800134664
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p01,True,24000,success,MATCH,0.46452336000862204,0.61,0.0,0.9964423451436588,0.5832849450707326,0.36378559579177966,0.695020287758082,0.563154720576071,2,1.1075294454691913
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p01,True,24000,success,POP,0.46452336000862204,0.61,0.0,1.1036297999306963,0.6495727208614286,0.38190029632572275,0.6665730749629842,0.6550721961086752,2,1.1075294454691913
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p01,True,24000,success,EB_ORACLE,0.46452336000862204,0.61,0.0,0.8076126779956225,0.4803897367208195,0.2787129697602612,0.49860828416740144,0.4790388798186212,2,1.1075294454691913
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p01,True,24000,success,EB_DEPLOYABLE,0.46452336000862204,0.61,0.0,1.1036297999306963,0.6495727208614286,0.38190029632572275,0.6665730749629842,0.6550721961086752,2,1.1075294454691913
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p02,True,24000,success,MATCH,0.5465677687535717,0.72,1.0,0.9755168901793623,0.5686735908968943,0.3358124801108337,0.6316886079429623,0.5765355492742323,2,1.291936516674648
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p02,True,24000,success,POP,0.5465677687535717,0.72,1.0,1.2464024529308013,0.6848206958105267,0.4383196597757848,0.6958631841963191,0.7384964747353846,2,1.291936516674648
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p02,True,24000,success,EB_ORACLE,0.5465677687535717,0.72,1.0,0.893793395726414,0.49517885011380847,0.32568781728328033,0.577000929967735,0.5104054854463602,2,1.291936516674648
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p02,True,24000,success,EB_DEPLOYABLE,0.5465677687535717,0.72,1.0,0.9755168901793623,0.5686735908968943,0.3358124801108337,0.6316886079429623,0.5765355492742323,2,1.291936516674648
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p03,True,24000,success,MATCH,0.3795260205618121,0.91,1.0,0.7764431771971405,0.41428750443375784,0.26682496279727186,0.39253998879080915,0.4703642155207878,2,1.5094756593715895
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p03,True,24000,success,POP,0.3795260205618121,0.91,1.0,1.6832110028164289,0.7284595070202649,0.4245369661976754,0.5869596490676432,1.1999780717119892,2,1.5094756593715895
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p03,True,24000,success,EB_ORACLE,0.3795260205618121,0.91,1.0,0.7563115222256173,0.40174352886245585,0.2567838735629582,0.35510775566555836,0.46401687309610323,2,1.5094756593715895
120.0,study01_layout_01_heldout_00,0,study01,study01/study01_p03,True,24000,success,EB_DEPLOYABLE,0.3795260205618121,0.91,1.0,0.7764431771971405,0.4142875044337579,0.26682496279727186,0.39253998879080915,0.4703642155207878,2,1.5094756593715895
120.0,study01_layout_01_heldout_01,1,study01,study01/study01_p04,True,24000,success,MATCH,0.49631756507846553,0.42,0.4528450440670013,1.1177707025836583,0.5992169348900497,0.3579076097381387,0.44494452370724813,0.7153686404747949,1,2.5229381244951563
120.0,study01_layout_01_heldout_01,1,study01,study01/study01_p04,True,24000,success,POP,0.49631756507846553,0.42,0.4528450440670013,1.0642053891015517,0.633284885200724,0.3770599536145467,0.4287783339436449,0.6442676020926404,1,2.5229381244951563
120.0,study01_layout_01_heldout_01,1,study01,study01/study01_p04,True,24000,success,EB_ORACLE,0.49631756507846553,0.42,0.4528450440670013,0.9781412385648669,0.5699372763472991,0.3398738962290647,0.3815072589574823,0.6001166164400539,1,2.5229381244951563
120.0,study01_layout_01_heldout_01,1,study01,study01/study01_p04,True,24000,success,EB_DEPLOYABLE,0.49631756507846553,0.42,0.4528450440670013,0.9785162239140084,0.5684702899456023,0.3389769915274574,0.38143275895057416,0.6013959564914936,1,2.5229381244951563
120.0,study01_layout_01_heldout_01,1,study01,study01/study01_p05,True,24000,success,MATCH,0.3918027847796,0.06,0.0,1.6497042357443519,0.8631062007074228,0.5116039435936076,0.8217852035254968,1.0559217717981946,1,0.7993375857372604
120.0,study01_layout_01_heldout_01,1,study01,study01/study01_p05,True,24000,success,POP,0.3918027847796,0.06,0.0,0.8948373389926778,0.4443909229443238,0.2958996095234821,0.33826090644787377,0.5651116388244084,1,0.7993375857372604
120.0,study01_layout_01_heldout_01,1,study01,study01/study01_p05,True,24000,success,EB_ORACLE,0.3918027847796,0.06,0.0,0.8829276060960722,0.4352991830187884,0.30056395198126484,0.3511784823407035,0.547245805880737,1,0.7993375857372604
120.0,study01_layout_01_heldout_01,1,study01,study01/study01_p05,True,24000,success,EB_DEPLOYABLE,0.3918027847796,0.06,0.0,0.8948373389926778,0.4443909229443238,0.2958996095234821,0.33826090644787377,0.5651116388244084,1,0.7993375857372604
120.0,study02_layout_02_heldout_00,2,study02,study02/study02_p02,True,24000,success,MATCH,0.5169305734957985,0.54,0.5169135640972201,0.7995144904644345,0.5248082978999469,0.22126941413777135,0.47812426171650313,0.5304326501550127,2,1.0856465862460396
120.0,study02_layout_02_heldout_00,2,study02,study02/study02_p02,True,24000,success,POP,0.5169305734957985,0.54,0.5169135640972201,0.8811133591988227,0.5121954638860625,0.29140581094589874,0.324849523822221,0.5572225958707019,2,1.0856465862460396
120.0,study02_layout_02_heldout_00,2,study02,study02/study02_p02,True,24000,success,EB_ORACLE,0.5169305734957985,0.54,0.5169135640972201,0.6690812481518648,0.3973493116954827,0.2076420560914905,0.34117043255508256,0.42732214880486596,2,1.0856465862460396
120.0,study02_layout_02_heldout_00,2,study02,study02/study02_p02,True,24000,success,EB_DEPLOYABLE,0.5169305734957985,0.54,0.5169135640972201,0.6694881194426088,0.39268664585145774,0.20855980623725048,0.3351323719218684,0.4274150760131714,2,1.0856465862460396
120.0,study02_layout_02_heldout_00,2,study02,study02/study02_p03,True,24000,success,MATCH,0.48651363407896875,0.43,0.4363884759749186,1.0887577227518488,0.6058276708858253,0.3014358745106562,0.554055092684399,0.7319163389727527,2,1.3207697510097158
120.0,study02_layout_02_heldout_00,2,study02,study02/study02_p03,True,24000,success,POP,0.48651363407896875,0.43,0.4363884759749186,1.0335547399102878,0.6596400556423443,0.3416843800881524,0.5549554786718112,0.6363748119549544,2,1.3207697510097158
120.0,study02_layout_02_heldout_00,2,study02,study02/study02_p03,True,24000,success,EB_ORACLE,0.48651363407896875,0.43,0.4363884759749186,0.8637498782772163,0.5552621142597146,0.27324759679611366,0.49596998848236745,0.5409052826328659,2,1.3207697510097158
120.0,study02_layout_02_heldout_00,2,study02,study02/study02_p03,True,24000,success,EB_DEPLOYABLE,0.48651363407896875,0.43,0.4363884759749186,0.8637390275970365,0.5552616903053422,0.2730417230406407,0.4956285169055098,0.5411344528658447,2,1.3207697510097158
