fold,participant,query_index,family,context,donor,selected_codes,observable_only
4,2,7,facial_emg,MATCH,2,p02:00;p02:03;p02:05;p02:07;p02:13;p02:11;p02:10;p02:02,1
4,2,8,head_motion,WRONG,6,p06:13;p06:08;p06:06;p06:01;p06:03;p06:12;p06:05;p06:10,1
4,2,8,head_motion,WRONG,23,p23:03;p23:00;p23:15;p23:04;p23:06;p23:11;p23:10;p23:12,1
4,2,8,head_motion,WRONG,27,p27:06;p27:11;p27:02;p27:07;p27:01;p27:09;p27:05;p27:10,1
4,2,8,head_motion,POP,,p13:00;p14:04;p29:11;p29:02;p13:07;p29:09;p22:08;p08:02,1
4,2,8,head_motion,MATCH,2,p02:08;p02:04;p02:01;p02:03;p02:14;p02:02;p02:07;p02:13,1
4,2,8,chewing,WRONG,6,p06:02;p06:05;p06:13;p06:14;p06:03;p06:01;p06:08;p06:10,1
4,2,8,chewing,WRONG,23,p23:07;p23:03;p23:15;p23:00;p23:04;p23:10;p23:06;p23:11,1
4,2,8,chewing,WRONG,27,p27:02;p27:08;p27:06;p27:09;p27:07;p27:10;p27:01;p27:05,1
4,2,8,chewing,POP,,p18:02;p08:04;p13:00;p29:02;p13:07;p29:11;p22:08;p26:14,1
4,2,8,chewing,MATCH,2,p02:04;p02:00;p02:11;p02:08;p02:01;p02:03;p02:13;p02:07,1
4,2,8,tongue,WRONG,6,p06:14;p06:04;p06:05;p06:01;p06:03;p06:12;p06:08;p06:10,1
4,2,8,tongue,WRONG,23,p23:06;p23:03;p23:00;p23:04;p23:15;p23:11;p23:10;p23:12,1
4,2,8,tongue,WRONG,27,p27:01;p27:11;p27:08;p27:07;p27:09;p27:05;p27:06;p27:10,1
4,2,8,tongue,POP,,p14:04;p13:00;p30:09;p30:05;p26:14;p13:07;p22:08;p29:11,1
4,2,8,tongue,MATCH,2,p02:08;p02:03;p02:14;p02:01;p02:02;p02:04;p02:07;p02:13,1
4,2,8,swallowing,WRONG,6,p06:04;p06:06;p06:03;p06:13;p06:01;p06:05;p06:10;p06:08,1
4,2,8,swallowing,WRONG,23,p23:15;p23:00;p23:03;p23:12;p23:04;p23:10;p23:11;p23:06,1
4,2,8,swallowing,WRONG,27,p27:11;p27:07;p27:01;p27:10;p27:08;p27:06;p27:09;p27:05,1
4,2,8,swallowing,POP,,p30:05;p29:08;p26:14;p22:08;p08:03;p29:02;p13:07;p29:11,1
4,2,8,swallowing,MATCH,2,p02:14;p02:08;p02:03;p02:11;p02:04;p02:01;p02:07;p02:13,1
4,2,8,facial_emg,WRONG,6,p06:14;p06:06;p06:13;p06:03;p06:01;p06:05;p06:10;p06:08,1
4,2,8,facial_emg,WRONG,23,p23:00;p23:06;p23:03;p23:15;p23:04;p23:11;p23:10;p23:12,1
4,2,8,facial_emg,WRONG,27,p27:04;p27:08;p27:07;p27:01;p27:05;p27:06;p27:10;p27:09,1
4,2,8,facial_emg,POP,,p13:03;p22:05;p14:04;p26:14;p22:08;p29:02;p29:11;p13:07,1
4,2,8,facial_emg,MATCH,2,p02:03;p02:08;p02:02;p02:14;p02:04;p02:01;p02:07;p02:13,1
4,2,9,head_motion,WRONG,6,p06:07;p06:05;p06:04;p06:01;p06:15;p06:14;p06:10;p06:03,1
4,2,9,head_motion,WRONG,23,p23:03;p23:12;p23:08;p23:04;p23:02;p23:11;p23:15;p23:13,1
4,2,9,head_motion,WRONG,27,p27:05;p27:08;p27:10;p27:02;p27:15;p27:13;p27:03;p27:06,1
4,2,9,head_motion,POP,,p21:12;p30:01;p21:13;p14:05;p30:14;p22:01;p21:03;p29:03,1
4,2,9,head_motion,MATCH,2,p02:15;p02:01;p02:00;p02:03;p02:11;p02:12;p02:13;p02:14,1
4,2,9,chewing,WRONG,6,p06:02;p06:07;p06:15;p06:01;p06:14;p06:04;p06:10;p06:03,1
4,2,9,chewing,WRONG,23,p23:00;p23:01;p23:02;p23:08;p23:11;p23:04;p23:15;p23:13,1
4,2,9,chewing,WRONG,27,p27:14;p27:05;p27:08;p27:02;p27:10;p27:13;p27:03;p27:06,1
4,2,9,chewing,POP,,p22:08;p30:01;p14:05;p21:13;p30:14;p22:01;p21:03;p29:03,1
4,2,9,chewing,MATCH,2,p02:12;p02:15;p02:01;p02:00;p02:03;p02:11;p02:14;p02:13,1
4,2,9,tongue,WRONG,6,p06:07;p06:02;p06:01;p06:15;p06:04;p06:14;p06:10;p06:03,1
