seed,subject,protocol,context,uncertainty_mean,latent_uncertainty_mean,preservation,covariance,eog_attenuation,mi_kappa,low_eog_fraction
20260810,5,same_01,MATCH,0.06178765743970871,0.006998221855610609,0.8005402535200119,0.1141379544175376,0.13048161781710035,0.3666666666666667,0.3
20260810,5,same_01,POP,0.06151373311877251,0.0069677685387432575,0.8185912221670151,0.1093238619330433,0.12064890683411955,0.4666666666666667,0.3
20260810,5,same_01,WRONG,0.06200826168060303,0.0070230113342404366,0.7693607360124588,0.1225846530451607,0.13945446997942645,0.23333333333333328,0.3
20260810,5,same_02,MATCH,0.06227978318929672,0.007069517858326435,0.7945591360330582,0.1352943040669605,0.127512829884908,0.5973705834018077,0.3
20260810,5,same_02,POP,0.062379539012908936,0.007081127725541592,0.8115636110305786,0.12546007973170986,0.11549553766115367,0.5973705834018077,0.3
20260810,5,same_02,WRONG,0.06276844441890717,0.007125370670109987,0.765022873878479,0.14257527472785694,0.12636258748687051,0.5693191140278917,0.3
20260810,5,same_03,MATCH,0.0682229995727539,0.007739899214357138,0.8391826450824738,0.11134361294604311,0.07025639826477648,0.65,0.3
20260810,5,same_03,POP,0.06847362965345383,0.007768233772367239,0.7744039744138718,0.14161987562938408,0.07756900581729395,0.675,0.3
20260810,5,same_03,WRONG,0.07126837968826294,0.008087338879704475,0.726016491651535,0.15558768759603234,0.054144640364731655,0.575,0.3
20260810,6,same_01,MATCH,0.06890740990638733,0.008118810132145882,0.8222467601299286,0.154128862528255,0.12385768060665689,0.2666666666666667,0.3
20260810,6,same_01,POP,0.06887364387512207,0.008114676922559738,0.8560967296361923,0.13515993621503478,0.10347160464791363,0.23333333333333328,0.3
20260810,6,same_01,WRONG,0.06887075304985046,0.008114431984722614,0.8303480297327042,0.15049601310856364,0.12112105748729612,0.23333333333333328,0.3
20260810,6,same_02,MATCH,0.06523267179727554,0.007687823846936226,0.8410035222768784,0.13298270198643353,0.12026876950177312,0.3666666666666667,0.3
20260810,6,same_02,POP,0.06518516689538956,0.007681814022362232,0.8703294694423676,0.11477159752211069,0.09690989473278427,0.3666666666666667,0.3
20260810,6,same_02,WRONG,0.0652012974023819,0.007683966774493456,0.8527300506830215,0.12459756872676642,0.11376222082418042,0.3666666666666667,0.3
20260810,6,same_03,MATCH,0.06908023357391357,0.00813899002969265,0.8478120863437653,0.12808163979192635,0.09303731835404708,0.475,0.3
20260810,6,same_03,POP,0.06875545531511307,0.008100589737296104,0.8546356856822968,0.12899588140647522,0.10212164626628034,0.525,0.3
20260810,6,same_03,WRONG,0.06912755966186523,0.008144034072756767,0.8907326087355614,0.10442090538749223,0.0712431652673533,0.55,0.3
20260810,7,same_01,MATCH,0.05677853897213936,0.009063015691936016,0.788305327296257,0.11584468278913373,0.12201077716883986,0.0,0.3
20260810,7,same_01,POP,0.056748952716588974,0.009058295749127865,0.8193934559822083,0.10925412632953514,0.11088631112384906,0.033333333333333326,0.3
20260810,7,same_01,WRONG,0.05677244812250137,0.00906204804778099,0.802897572517395,0.10642232080907443,0.11646698912190914,0.033333333333333326,0.3
20260810,7,same_02,MATCH,0.06291427463293076,0.00888228602707386,0.7559875845909119,0.0983849099869316,0.14049925671192964,0.06666666666666665,0.3
20260810,7,same_02,POP,0.06287899613380432,0.008877291344106197,0.7885613888502121,0.10045488050110887,0.13772053442832355,0.0,0.3
20260810,7,same_02,WRONG,0.06291119009256363,0.008881833404302597,0.761754959821701,0.09219205531064917,0.13762988638289378,0.0,0.3
20260810,7,same_03,MATCH,0.07492110878229141,0.009207557886838913,0.7316922247409821,0.15358643259522525,0.07580603269886219,0.42500000000000004,0.3
20260810,7,same_03,POP,0.07499795407056808,0.009216922335326672,0.6460553705692291,0.16625002334001204,0.060618919948056904,0.42500000000000004,0.3
