package,seed,participant,protocol,method,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
OPPOST,20260808,9,same_01,OPPOST-WRONG-3,0.08525322332336349,0.7846641689538956,0.060498201241908266,0.07807180262128649,0.33333333333333337,0.9525128441092028
OPPOST,20260808,9,same_01,OPPOST-WRONG-4,0.08792379838374069,0.8013409674167633,0.05815010720346527,0.06888782386138118,0.33333333333333337,0.9547883668883816
OPPOST,20260808,9,same_01,OPPOST-WRONG-5,0.08766664765194206,0.7987272143363953,0.0577343324079834,0.06787693122707122,0.30000000000000004,0.9528124557511521
OPPOST,20260808,9,same_01,OPPOST-WRONG-6,0.08601811097544636,0.7614928334951401,0.05919252540786442,0.08619211259924545,0.3666666666666667,0.9516456723007389
OPPOST,20260808,9,same_01,OPPOST-WRONG-7,0.08601276206121569,0.803764745593071,0.05410471696576575,0.06347415184596676,0.3666666666666667,0.9561431307611195
OPPOST,20260808,9,same_01,OPPOST-WRONG-8,0.08721976581929186,0.8128700703382492,0.05484027684173905,0.058810817270455625,0.33333333333333337,0.9554769450323777
OPPOST,20260808,9,same_02,OPPOST-POP,0.07092163578669931,0.8170021027326584,0.04881310586463351,0.07654937441146491,0.16666666666666663,0.96498880579666
OPPOST,20260808,9,same_02,OPPOST-MATCH,0.07205981654364291,0.8238374143838882,0.047626077811046115,0.06975624557787932,0.16666666666666663,0.9656209267453146
OPPOST,20260808,9,same_02,OPPOST-WRONG-1,0.06936849413642551,0.8222395032644272,0.0478387549314434,0.07121150355975898,0.19999999999999996,0.9655940575230779
OPPOST,20260808,9,same_02,OPPOST-WRONG-2,0.07217630162412611,0.8285945057868958,0.04646040748160942,0.06551317402611295,0.16666666666666663,0.9655862702660468
OPPOST,20260808,9,same_02,OPPOST-WRONG-3,0.06887833409618907,0.810274675488472,0.04960414391325409,0.07992086104874671,0.19999999999999996,0.9638127664602253
OPPOST,20260808,9,same_02,OPPOST-WRONG-4,0.07027112079770262,0.8259017318487167,0.047441362081459944,0.0676423227285958,0.16666666666666663,0.9659771487441814
OPPOST,20260808,9,same_02,OPPOST-WRONG-5,0.04554014204000448,0.7718218266963959,0.05322967200702733,0.09145024290443424,0.19999999999999996,0.9647068426646246
OPPOST,20260808,9,same_02,OPPOST-WRONG-6,-0.1353819889750378,0.5523839592933655,0.08157648214762157,0.1624321688195433,0.16666666666666663,0.9516483039349459
OPPOST,20260808,9,same_02,OPPOST-WRONG-7,0.07209136965282395,0.8241430371999741,0.04740283148629626,0.06858717090129768,0.19999999999999996,0.9659714864195751
OPPOST,20260808,9,same_02,OPPOST-WRONG-8,0.07212054812662246,0.8168077915906906,0.04877579410906155,0.0768200394901648,0.16666666666666663,0.9648731277095305
OPPOST,20260808,9,same_03,OPPOST-POP,0.06238795581598425,0.709559291601181,0.0675835401493851,0.12148473827849471,0.675,0.9466284347937794
OPPOST,20260808,9,same_03,OPPOST-MATCH,0.0731340585711223,0.7788646966218948,0.06350621185676449,0.08376532109107761,0.625,0.9494868609579049
OPPOST,20260808,9,same_03,OPPOST-WRONG-1,0.07679031021903535,0.76132732629776,0.06495999416233611,0.09711572756259863,0.675,0.9479982868063971
OPPOST,20260808,9,same_03,OPPOST-WRONG-2,0.04317943301040891,0.6363313794136047,0.06879410318444906,0.1320699885102675,0.7,0.946747905085355
OPPOST,20260808,9,same_03,OPPOST-WRONG-3,0.050196107271853585,0.7040780186653137,0.06699280098657803,0.11819872534782054,0.675,0.9475041163920934
OPPOST,20260808,9,same_03,OPPOST-WRONG-4,0.0718024236423288,0.7470907270908356,0.06578948910793248,0.10583979250391773,0.65,0.9475140010754545
OPPOST,20260808,9,same_03,OPPOST-WRONG-5,-0.010827960055702412,0.6087044775485992,0.06586019687591398,0.11916741638857888,0.625,0.9529521751521156
OPPOST,20260808,9,same_03,OPPOST-WRONG-6,0.004541230191155904,0.5581488609313965,0.07037337327713532,0.1420370847595081,0.625,0.9474728672004312
OPPOST,20260808,9,same_03,OPPOST-WRONG-7,0.07323957740574467,0.7743806540966034,0.06279040331523195,0.0866726942731194,0.65,0.9501188076096347
OPPOST,20260808,9,same_03,OPPOST-WRONG-8,0.06890118520823309,0.7303195595741272,0.0665659447139376,0.11361999596354422,0.675,0.9470357181129014
