artifact_rrmse,covariance,eta_d,eta_z,finite,heldout,inner_participants,kkt,offspan,output_input_rms,outside,preservation,psd,safe,units
1.011181297915441,0.0077588774770096965,10.0,10.0,1.0,sub-09,14,1.3425874169028941e-12,1.3138926807159233e-16,0.9971911429775956,0.0,0.9939949351050847,0.002815890362294409,1,84
2.2424351073717426,0.11193388698042746,0.0,0.001,1.0,sub-11,14,1.7171449447535755e-13,3.79306549411394e-16,0.9456049169864642,0.0,0.8969497592291169,0.048628601250927224,1,84
2.2424208536265713,0.11193237156619748,0.1,0.001,1.0,sub-11,14,1.9822529757675586e-13,3.7953298867818203e-16,0.9456049241660486,0.0,0.8969513924418121,0.04862603008187436,1,84
2.242293330985921,0.11191881571156281,1.0,0.001,1.0,sub-11,14,2.436040270793154e-13,3.7889342126260438e-16,0.9456050211204525,0.0,0.8969659877050619,0.04860105488382685,1,84
2.2410840348310317,0.11179041534300442,10.0,0.001,1.0,sub-11,14,2.0685734871049378e-13,3.781564945642542e-16,0.9456086257867249,0.0,0.8971032041904798,0.04832885013597189,1,84
2.2069526371614088,0.10917650050385065,0.0,0.01,1.0,sub-11,14,1.564885787090697e-13,3.650194764869701e-16,0.9460273219612467,0.0,0.9003861118560407,0.0471771875723962,1,84
2.206851470431961,0.10916713629710914,0.1,0.01,1.0,sub-11,14,2.1405946625041053e-13,3.65447053609856e-16,0.9460289745917145,0.0,0.9003971828029165,0.04714627794956444,1,84
2.205974540046919,0.10908569412479466,1.0,0.01,1.0,sub-11,14,2.2002703891659047e-13,3.637697642492728e-16,0.9460445657476283,0.0,0.9004926675013868,0.04693315271604527,1,84
2.1990046356612813,0.10842823958504781,10.0,0.01,1.0,sub-11,14,2.1857647966715463e-13,3.597648194850398e-16,0.9462211908376174,0.0,0.9012367595326465,0.045758052942347416,1,84
2.055564594491127,0.09749873239241713,0.0,0.1,1.0,sub-11,14,1.4126266294278181e-13,2.689740064115867e-16,0.9514418159136032,0.0,0.9152029158147257,0.04194992231557813,1,84
2.055223227812911,0.09747169274651524,0.1,0.1,1.0,sub-11,14,1.9679628297334753e-13,2.687827312687112e-16,0.9514558012315184,0.0,0.9152366457416373,0.041881138279981835,1,84
2.052350466090902,0.09723817916024331,1.0,0.1,1.0,sub-11,14,1.9008604214475001e-13,2.65846920564525e-16,0.951577186952494,0.0,0.9155176911380771,0.041391535097241784,1,84
2.0315727741598524,0.09538091051548447,10.0,0.1,1.0,sub-11,14,4.334310688136611e-13,2.5649704199778267e-16,0.9525536346279123,0.0,0.9174745135502834,0.03727185208390321,1,84
1.6636887923905725,0.06618519479702141,0.0,1.0,1.0,sub-11,14,1.377099492639813e-13,1.4720480087402113e-16,0.9683122640073601,0.0,0.9489399327008348,0.02931479141658995,1,84
1.6628916550137687,0.0661138598113028,0.1,1.0,1.0,sub-11,14,2.3046115280695155e-13,1.4734157119733311e-16,0.9683465958476936,0.0,0.9490047557123101,0.029246033903380136,1,84
1.6564664669590254,0.06552108478738639,1.0,1.0,1.0,sub-11,14,3.413988668485434e-13,1.467907587861733e-16,0.9686344673239963,0.0,0.9495187921109767,0.02830083306478745,1,84
