fold,participant,view,arm,donor,beta,distance,morphology_distance,topography_distance,dynamics_distance
2,8,wrong_condition,WRONG_DONOR,3,0.5,8.000687996546427,20.854450225830078,1.6131863594055176,1.5344274044036865
2,8,wrong_condition,WRONG_DONOR,13,0.5,10.403608679771423,27.352943420410156,2.1006646156311035,1.7572180032730103
2,8,wrong_condition,POP,,0.5,9.83617893854777,26.15103530883789,1.8949378728866577,1.4625636339187622
2,8,wrong_condition,MATCH,,0.5,6.9992371797561646,18.143293380737305,1.7061257362365723,1.1482924222946167
2,8,wrong_condition,WRONG_MEAN,,0.5,9.202148338158924,24.103696823120117,1.8569254875183105,1.6458227038383484
2,13,wrong_condition,WRONG_DONOR,3,0.5,8.705791592597961,22.967201232910156,1.3952319622039795,1.7549415826797485
2,13,wrong_condition,WRONG_DONOR,8,0.5,8.503036419550577,22.792142868041992,1.1205376386642456,1.5964287519454956
2,13,wrong_condition,POP,,0.5,6.661339978377025,17.668413162231445,0.9123302102088928,1.4032765626907349
2,13,wrong_condition,MATCH,,0.5,8.00191350777944,21.71787452697754,1.2824305295944214,1.0054354667663574
2,13,wrong_condition,WRONG_MEAN,,0.5,8.604414006074268,22.879672050476074,1.2578848004341125,1.675685167312622
2,3,gain_normalized,WRONG_DONOR,8,0.5,14.31246026357015,40.21620178222656,1.1895660161972046,1.5316129922866821
2,3,gain_normalized,WRONG_DONOR,13,0.5,18.92000110944112,52.928043365478516,2.0154194831848145,1.8165404796600342
2,3,gain_normalized,POP,,0.5,17.61465509732564,49.795799255371094,1.5706162452697754,1.4775497913360596
2,3,gain_normalized,MATCH,,0.5,11.7657603820165,32.8426513671875,1.2589982748031616,1.195631504058838
2,3,gain_normalized,WRONG_MEAN,,0.5,16.616230686505634,46.57212257385254,1.6024927496910095,1.6740767359733582
2,8,gain_normalized,WRONG_DONOR,3,0.5,12.854569792747498,35.41609573364258,1.613186240196228,1.5344274044036865
2,8,gain_normalized,WRONG_DONOR,13,0.5,16.794219613075256,46.524776458740234,2.1006643772125244,1.7572180032730103
2,8,gain_normalized,POP,,0.5,15.93984587987264,44.4620361328125,1.8949376344680786,1.4625638723373413
2,8,gain_normalized,MATCH,,0.5,11.208726922671,30.77176284790039,1.7061254978179932,1.1482924222946167
2,8,gain_normalized,WRONG_MEAN,,0.5,14.824394702911377,40.970436096191406,1.8569253087043762,1.6458227038383484
2,13,gain_normalized,WRONG_DONOR,3,0.5,14.114444732666016,39.19316101074219,1.3952317237854004,1.754941463470459
2,13,gain_normalized,WRONG_DONOR,8,0.5,13.859342455863953,38.861061096191406,1.120537519454956,1.5964287519454956
2,13,gain_normalized,POP,,0.5,10.821852266788483,30.14995002746582,0.9123302102088928,1.4032765626907349
2,13,gain_normalized,MATCH,,0.5,13.119775493939718,37.07146072387695,1.2824304103851318,1.0054353475570679
2,13,gain_normalized,WRONG_MEAN,,0.5,13.986893594264984,39.0271110534668,1.2578846216201782,1.6756851077079773
