fold_id,study,recording_key,method,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D01-SHUFFLED-LORA,0.032993672198840765,0.8284194618463516,0.043851833790540695,0.037735208967193755
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D11-SHUFFLED-BOTH,0.02879651274596308,0.7490774393081665,0.1458439975976944,0.041443613925593654
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D10-CAL,0.030007232068877274,0.8275985866785049,0.09368016570806503,0.15141735548255578
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D01-CAL,0.030007232068877274,0.8275985866785049,0.09368016570806503,0.15141735548255578
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D11-CAL,0.029498449936187984,0.833409920334816,0.09293859452009201,0.14509694868835274
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D10-SHUFFLED-GEOMETRY-CAL,0.030007232068877274,0.8275985866785049,0.09368016570806503,0.15141735548255578
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D01-SHUFFLED-LORA-CAL,0.030007232068877274,0.8275985866785049,0.09368016570806503,0.15141735548255578
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D11-SHUFFLED-BOTH-CAL,0.029398016438915806,0.8338401317596436,0.08760357648134232,0.14666122126349415
study02_layout_02_heldout_03,study02,study02/study02_p11,RAW,0.0,1.0,0.0,0.0
study02_layout_02_heldout_03,study02,study02/study02_p11,DET-D00,0.0166137986961985,0.7339074611663818,0.13497957587242126,0.28260265641828125
study02_layout_02_heldout_03,study02,study02/study02_p11,DET-D10,0.007407810458971653,0.7068410217761993,0.144215390086174,0.3501223311824407
study02_layout_02_heldout_03,study02,study02/study02_p11,DET-D01,0.012815475165552925,0.8056085258722305,0.11003118753433228,0.2146012131158002
study02_layout_02_heldout_03,study02,study02/study02_p11,DET-D11,0.007403634757793043,0.802344560623169,0.10909982025623322,0.2414914076553126
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D00,0.014977092578192241,0.6977038383483887,0.12268374860286713,0.37782619614735585
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D10,0.006100382197473664,0.6663913726806641,0.13518477976322174,0.4262573526071191
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D01,0.012590722712047864,0.7485609948635101,0.15592269599437714,0.3495462221897934
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D11,0.007760382068227045,0.7587903738021851,0.13383276760578156,0.3175734221839952
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D10-SHUFFLED-GEOMETRY,0.005252243259747047,0.6426348984241486,0.14476901292800903,0.46354036357492623
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D01-SHUFFLED-LORA,0.011582569706661161,0.7768640667200089,0.06902454793453217,0.2513535600520032
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D11-SHUFFLED-BOTH,0.007033008863800205,0.7554754912853241,0.06140879914164543,0.2518237298367505
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D10-CAL,0.00404679861094337,0.8941963315010071,0.04878517985343933,0.15629663012638342
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D01-CAL,0.005879386619199067,0.8617086261510849,0.09039332717657089,0.20947257512706904
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D11-CAL,0.004551323036139365,0.8707409352064133,0.07771413773298264,0.20107593623844283
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D10-SHUFFLED-GEOMETRY-CAL,0.00404679861094337,0.8941963315010071,0.04878517985343933,0.15629663012638342
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D01-SHUFFLED-LORA-CAL,0.005490411022037733,0.8772752732038498,0.0417063906788826,0.1522947304125076
