verifier,panel,participant,auroc,identity_margin,rank1,tar_at_far5
B-R,gain_normalized,9,0.7873961218836565,0.07514588534832001,0.8157894736842105,0.4473684210526316
B-R,gain_normalized,10,0.9168975069252078,0.1101459339261055,0.9736842105263157,0.8157894736842105
B-R,gain_normalized,11,0.8331024930747923,0.059424735605716705,0.7105263157894737,0.5
B-R,gain_normalized,12,0.8704986149584487,0.11136984452605247,0.7894736842105263,0.39473684210526316
B-R,gain_normalized,13,0.7936288088642659,0.07267304696142673,0.631578947368421,0.18421052631578946
B-R,gain_normalized,14,0.6170360110803323,0.03584629375836812,0.42105263157894735,0.05263157894736842
B-R,gain_normalized,15,0.8753462603878116,0.07715266942977905,0.8421052631578947,0.42105263157894735
B-R,physiological,1,0.934375,0.09214400872588158,0.875,0.275
B-R,physiological,2,0.9649999999999999,0.14562900364398956,0.925,0.5
B-R,physiological,3,0.7479224376731302,0.06852033361792564,0.47368421052631576,0.39473684210526316
B-R,physiological,4,0.9325,0.1626816838979721,0.975,0.65
B-R,physiological,5,0.8587257617728532,0.14242645725607872,0.8947368421052632,0.4473684210526316
B-R,physiological,6,0.79,0.048600733280181885,0.7,0.3
B-R,physiological,7,0.8455678670360111,0.09680167958140373,0.7894736842105263,0.21052631578947367
B-R,physiological,8,0.5990304709141274,0.09722741320729256,0.5789473684210527,0.42105263157894735
B-R,physiological,9,0.7728531855955678,0.07845038175582886,0.8157894736842105,0.42105263157894735
B-R,physiological,10,0.912049861495845,0.11735035851597786,0.9736842105263157,0.5526315789473684
B-R,physiological,11,0.8282548476454293,0.06615427136421204,0.7105263157894737,0.18421052631578946
B-R,physiological,12,0.8940443213296398,0.13149291276931763,0.7894736842105263,0.3157894736842105
B-R,physiological,13,0.801246537396122,0.08685808628797531,0.631578947368421,0.13157894736842105
B-R,physiological,14,0.6703601108033241,0.055651512229815125,0.6052631578947368,0.39473684210526316
B-R,physiological,15,0.8088642659279779,0.07056128978729248,0.7894736842105263,0.02631578947368421
B-R,rereference,1,0.6399999999999999,0.015907018911093473,0.45,0.175
B-R,rereference,2,0.74875,0.039816530887037516,0.6,0.325
B-R,rereference,3,0.5865650969529086,0.019356555450940505,0.3421052631578947,0.0
B-R,rereference,4,0.90625,0.08269555680453777,0.9,0.675
B-R,rereference,5,0.7984764542936287,0.048999872989952564,0.763157894736842,0.47368421052631576
